circuit,No. of cells,No. of I/O ports,No. of nets,Area,Power_leakage(nW),Power_Internal,Power_Nets,Power_dynamic(Switching)(nW),Power_total(nW)
OA51,3,7,9,14.381,45.529,150.53,95.98,246.326,291.855
OA52,3,8,10,15.138,73.591,115.32,112.22,227.543,301.134
OA53,3,9,11,16.652,74.885,139.07,127.62,266.684,341.569
OA54,4,10,13,18.166,52.116,184.67,146.39,331.057,383.173
OA55,5,11,15,21.193,64.222,293.75,183.94,477.687,541.909
OA61,3,8,10,15.138,85.18,93.64,116.65,210.287,295.466
OA62,3,9,11,15.895,87.816,134.48,130.15,264.63,352.446
OA63,3,10,12,17.409,89.11,172.51,149.13,321.639,410.75
OA64,4,11,14,19.679,52.457,246.98,164.95,411.934,464.391
OA65,5,12,16,22.707,64.563,409.89,198.49,608.38,672.943
OA66,4,13,16,24.221,156.008,126.75,192.59,319.337,475.345
OA71,3,9,11,17.409,47.119,224.94,122.98,347.916,395.036
OA72,4,10,13,18.166,52.116,345.75,160.31,506.067,558.183
OA73,4,10,13,18.166,52.116,345.75,160.31,506.067,558.183
OA74,4,11,14,19.679,52.457,255.44,157.99,413.427,465.884
OA75,4,12,15,24.221,57.847,348.57,182.25,530.819,588.666
OA76,5,14,18,25.735,66.153,363.3,222.75,586.05,652.203
Inverter,1,2,2,2.271,8.76,30.92,13.5,44.42,53.174
and_or,1,4,4,6.812,42.64,89.94,42.19,132.13,174.769
and2,1,3,3,4.541,24.66,58.79,29.53,88.32,112.983
and3,1,4,4,6.055,25.33,65.7,43.03,108.73,134.066
and4,1,5,5,6.812,26.01,77.88,58.22,136.1,162.104
and5,3,6,8,10.597,31.58,67.59,89.86,157.45,189.023
and6,3,7,9,11.354,32.11,53.52,102.73,156.25,188.358
and7,3,8,10,12.867,32.75,55.92,116.23,172.15,204.894
and8,3,9,11,13.624,33.28,48.59,125.3,173.88,207.159
and9,4,10,13,17.409,43.29,107.07,166.22,273.29,316.579
and10,4,11,14,18.166,43.82,90.81,171.28,262.09,305.909
or2,1,3,3,4.541,42.56,65.37,27.84,93.21,135.769
or3,1,4,4,6.055,52.67,49.52,43.03,92.5,145.221
or4,1,5,5,6.812,66.9,18.04,57.37,75.42,142.317
or5,3,6,8,10.597,35.26,100.77,87.96,188.73,223.99
or6,3,7,9,12.11,35.6,70.73,96.19,166.92,202.513
or7,2,8,9,13.624,133.8,0,101.25,101.25,235.046
or8,3,9,11,15.138,37.19,170.2,123.82,294.02,331.208
or9,4,10,13,18.166,49.85,185.72,149.55,335.28,385.123
or10,4,11,14,19.679,50.19,240.91,164.53,405.44,455.631
nand2,1,3,3,3.028,9.29,31.95,27.84,59.79,69.083
nand3,1,4,4,4.541,9.93,35.41,41.34,76.75,86.682
nand4,1,5,5,5.298,10.46,29.03,54,83.03,93.488
nand5,2,6,7,9.84,37.09,45.17,84.37,129.55,166.635
nand6,2,7,8,11.354,38.68,29.16,94.92,124.08,162.76
nand7,2,8,9,12.11,38.26,38.88,110.53,149.41,187.666
nand8,3,9,11,15.138,63.47,48.59,125.51,174.1,237.57
nand9,3,10,12,18.166,77.49,36.49,138.8,175.29,252.778
nand10,3,11,13,18.922,78.02,48.59,154.41,203,281.013
nor2,1,3,3,3.028,12.36,52.63,27.84,80.48,92.834
nor3,1,4,4,4.541,13.61,89.93,43.03,132.96,146.571
nor4,1,5,5,6.055,13.95,42.52,54.84,97.36,111.312
nor5,2,6,7,9.84,28.9,53.06,81.63,134.7,163.6
nor6,2,7,8,11.354,80.51,17.78,89.02,106.8,187.302
nor7,2,8,9,12.867,30.49,127.65,108.63,236.28,266.779
nor8,3,9,11,16.652,95.8,106.22,134.79,241.01,336.812
nor9,3,10,12,18.166,97.05,173.56,153.98,327.54,424.595
nor10,3,11,13,19.679,97.39,127.65,150.82,278.47,375.863
xor2,1,3,3,8.326,72.54,222.5,45.56,268.06,340.607
xor3,3,4,6,15.895,88.57,396.69,139.22,535.9,624.474
xor4,4,5,8,24.221,161.11,709.29,216,925.29,1086.4
xor5,6,6,11,31.79,185.67,1046.2,355.64,1401.84,1587.516
xor6,7,7,13,40.116,258.21,1441.66,441.91,1883.57,2141.788
xor7,9,8,16,47.685,274.24,1620.78,577.55,2198.33,2472.57
xor8,10,9,18,56.011,346.76,2024.06,689.77,2713.82,3060.608
xor9,12,10,21,63.58,371.34,2349.11,849.87,3198.97,3570.316
xor10,13,11,23,71.906,443.89,2871.51,978.96,3850.47,4294.359
xnor2,2,3,4,7.569,18.02,116.21,70.03,186.24,204.259
xnor3,3,4,6,15.895,90.56,392.41,147.23,539.64,630.204
xnor4,4,5,8,24.221,163.1,708.46,231.4,939.86,1102.965
xnor5,6,6,11,31.79,179.13,956.95,352.9,1309.85,1488.977
xnor6,7,7,13,40.116,256.22,1459.17,473.34,1932.51,2188.734
xnor7,9,8,16,47.685,280.78,1706.31,576.7,2283.01,2563.795
xnor8,10,9,18,56.011,353.33,2166.37,706.01,2872.38,3225.702
xnor9,12,10,21,63.58,369.35,2376.81,837.42,3214.23,3583.587
xnor10,13,11,23,71.906,450.43,3017.53,1005.96,4023.49,4473.917
counter1b,2,3,5,24.221,134.52,504.11,70.03,574.14,708.662
counter2b,3,4,6,49.198,287.14,1275.45,201.66,1477.11,1764.246
counter3b,6,5,9,79.474,457.81,1804.54,322.1,2126.64,2584.541
coubter4b,9,6,12,111.264,661.74,2928.36,523.55,3451.9,4113.645
counter5b,12,7,15,143.054,865.68,4243.18,761.06,5004.24,5869.917
counter6b,15,8,18,174.844,1069.61,4320.91,776.67,5097.58,6167.194
counter7b,18,9,21,206.634,1273.55,4075.45,765.91,4841.37,6114.916
counter8b,21,10,24,238.423,1477.48,5069.18,944.4,6002.58,7480.063
counter9b,24,11,27,270.213,1681.42,5479.14,1028.11,6507.25,8188.672
counter10b,27,12,30,302.003,1885.35,5745.61,1084.85,6830.46,8715.815
AOI21,1,4,4,4.541,12.2,63.34,41.34,104.68,116.885
AOI22,1,5,5,6.055,12.29,77.72,55.69,133.41,145.697
AOI31,1,5,5,6.055,12.01,77.09,55.69,132.78,144.785
AOI32,1,6,6,6.812,12.28,107.68,70.03,177.72,189.993
AOI33,1,7,7,8.326,13,124.06,83.53,207.59,220.595
AOI41,2,6,7,9.84,27.08,144.95,79.1,224.05,251.134
AOI42,2,7,8,11.354,39.45,191.38,99.56,290.95,330.394
AOI43,2,8,9,12.867,40.18,186.65,109.69,296.34,336.516
AOI44,2,9,10,15.138,55.97,220.36,128.46,348.82,404.794
AOI51,2,7,8,12.11,37.34,120.06,95.55,215.62,252.953
AOI52,2,8,9,12.867,37.61,121.03,109.9,230.93,268.538
AOI53,4,9,12,15.895,44.96,188.25,139.22,327.47,372.472
AOI54,3,10,12,17.409,34.52,184.29,153.56,337.85,372.375
AOI55,3,11,13,18.166,34.64,264.35,174.02,438.37,473.013
AOI61,2,8,9,12.867,38.01,133.12,110.74,243.86,281.878
AOI62,2,8,9,12.867,37.61,186.77,116.23,303,340.605
AOI63,2,9,10,14.381,38.89,187.19,121.08,308.26,347.156
AOI71,3,9,11,15.895,50.83,121.84,128.67,250.51,301.341
AOI72,2,9,10,13.624,38.29,163.42,125.09,288.51,326.797
